dp[29]:36, k:3, vi:6, wi:9, si:4
dp[29]:36, k:4, vi:6, wi:9, si:4
dp[28]:33, k:1, vi:6, wi:9, si:4
dp[28]:36, k:2, vi:6, wi:9, si:4
dp[28]:36, k:3, vi:6, wi:9, si:4
dp[28]:36, k:4, vi:6, wi:9, si:4
dp[27]:33, k:1, vi:6, wi:9, si:4
dp[27]:36, k:2, vi:6, wi:9, si:4
dp[27]:36, k:3, vi:6, wi:9, si:4
dp[27]:36, k:4, vi:6, wi:9, si:4
dp[26]:27, k:1, vi:6, wi:9, si:4
dp[26]:33, k:2, vi:6, wi:9, si:4
dp[26]:33, k:3, vi:6, wi:9, si:4
dp[26]:36, k:4, vi:6, wi:9, si:4
dp[25]:27, k:1, vi:6, wi:9, si:4
dp[25]:33, k:2, vi:6, wi:9, si:4
dp[25]:33, k:3, vi:6, wi:9, si:4
dp[25]:36, k:4, vi:6, wi:9, si:4
dp[24]:27, k:1, vi:6, wi:9, si:4
dp[24]:33, k:2, vi:6, wi:9, si:4
dp[24]:33, k:3, vi:6, wi:9, si:4
dp[24]:36, k:4, vi:6, wi:9, si:4
dp[23]:27, k:1, vi:6, wi:9, si:4
dp[23]:27, k:2, vi:6, wi:9, si:4
dp[23]:27, k:3, vi:6, wi:9, si:4
dp[22]:27, k:1, vi:6, wi:9, si:4
dp[22]:27, k:2, vi:6, wi:9, si:4
dp[22]:27, k:3, vi:6, wi:9, si:4
dp[21]:27, k:1, vi:6, wi:9, si:4
dp[21]:27, k:2, vi:6, wi:9, si:4
dp[21]:27, k:3, vi:6, wi:9, si:4
dp[20]:24, k:1, vi:6, wi:9, si:4
dp[20]:24, k:2, vi:6, wi:9, si:4
dp[20]:27, k:3, vi:6, wi:9, si:4
dp[19]:24, k:1, vi:6, wi:9, si:4
dp[19]:24, k:2, vi:6, wi:9, si:4
dp[19]:27, k:3, vi:6, wi:9, si:4
dp[18]:24, k:1, vi:6, wi:9, si:4
dp[18]:24, k:2, vi:6, wi:9, si:4
dp[18]:27, k:3, vi:6, wi:9, si:4
dp[17]:18, k:1, vi:6, wi:9, si:4
dp[17]:18, k:2, vi:6, wi:9, si:4
dp[16]:18, k:1, vi:6, wi:9, si:4
dp[16]:18, k:2, vi:6, wi:9, si:4
dp[15]:18, k:1, vi:6, wi:9, si:4
dp[15]:18, k:2, vi:6, wi:9, si:4
dp[14]:15, k:1, vi:6, wi:9, si:4
dp[14]:18, k:2, vi:6, wi:9, si:4
dp[13]:15, k:1, vi:6, wi:9, si:4
dp[13]:18, k:2, vi:6, wi:9, si:4
dp[12]:15, k:1, vi:6, wi:9, si:4
dp[12]:18, k:2, vi:6, wi:9, si:4
dp[11]:9, k:1, vi:6, wi:9, si:4
dp[10]:9, k:1, vi:6, wi:9, si:4
dp[9]:9, k:1, vi:6, wi:9, si:4
dp[8]:9, k:1, vi:6, wi:9, si:4
dp[7]:9, k:1, vi:6, wi:9, si:4
dp[6]:9, k:1, vi:6, wi:9, si:4
dp[100]:112, k:1, vi:32, wi:43, si:1
dp[99]:112, k:1, vi:32, wi:43, si:1
dp[98]:112, k:1, vi:32, wi:43, si:1
dp[97]:112, k:1, vi:32, wi:43, si:1
dp[96]:112, k:1, vi:32, wi:43, si:1
dp[95]:112, k:1, vi:32, wi:43, si:1
dp[94]:112, k:1, vi:32, wi:43, si:1
dp[93]:112, k:1, vi:32, wi:43, si:1
dp[92]:112, k:1, vi:32, wi:43, si:1
